Crop,Question,Answer,text,clean_text,Cluster
maize,how to control pests in maize,Use good cropping practices,how to control pests in maize Use good cropping practices,control pest maize use good cropping practice,1
maize,how to control quality of maize,Make sure you use better cropping methods,how to control quality of maize Make sure you use better cropping methods,control quality maize make sure use better cropping method,1
general,how to control soil erosion,Terracing,how to control soil erosion Terracing,control soil erosion terracing,2
general,how to control stem bores,Use resistant verities and increase on water availability for crop vigor,how to control stem bores Use resistant verities and increase on water availability for crop vigor,control stem bore use resistant verity increase water availability crop vigor,1
general,how to control termites in my garden,Use termiticides,how to control termites in my garden Use termiticides,control termite garden use termiticides,1
general,how to control water logging garden,Drain water using draining galleys,how to control water logging garden Drain water using draining galleys,control water logging garden drain water using draining galley,4
general,how to control weeds,Use the right herbicide which is recommended,how to control weeds Use the right herbicide which is recommended,control weed use right herbicide recommended,1
general,how to control weeds in the garden,Weed the garden regularly,how to control weeds in the garden Weed the garden regularly,control weed garden weed garden regularly,1
cassava,how to control weevils in my cassava store,Use pest control chemicals recommended in stores,how to control weevils in my cassava store Use pest control chemicals recommended in stores,control weevil cassava store use pest control chemical recommended store,1
general,how to control weevils in the store,Take preventative steps through better management and storage and where possible use recommended insecticides  ,how to control weevils in the store Take preventative steps through better management and storage and where possible use recommended insecticides  ,control weevil store take preventative step better management storage possible use recommended insecticide,1
general,how to determine loam soil,Its black and has a lot of nutrients,how to determine loam soil Its black and has a lot of nutrients,determine loam soil black lot nutrient,2
cassava,how to dry cassava,Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them,how to dry cassava Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them,dry cassava dry produce tarpaulines cement flor away dust grit would contaminate,4
beans,how to eliminate spiders in beans,Use miticides,how to eliminate spiders in beans Use miticides,eliminate spider bean use miticides,3
maize,how to eliminate squirrels in my maize garden,Use traps and poison,how to eliminate squirrels in my maize garden Use traps and poison,eliminate squirrel maize garden use trap poison,4
maize,how to eliminate weeds in a maize garden,Constant weeding and mulching if posible,how to eliminate weeds in a maize garden Constant weeding and mulching if posible,eliminate weed maize garden constant weeding mulching posible,4
general,how to fence my garden,Use barbed wire,how to fence my garden Use barbed wire,fence garden use barbed wire,4
general,how to fight termites in my garden,Using termiticides but also if a variety is resistant to termites,how to fight termites in my garden Using termiticides but also if a variety is resistant to termites,fight termite garden using termiticides also variety resistant termite,4
cassava,how to get health cassava cuttings,Go to the district or NARO offices,how to get health cassava cuttings Go to the district or NARO offices,get health cassava cutting go district naro office,4
maize,how to grow maize,Plant at a spacing of 30X75 in a well prepared garden,how to grow maize Plant at a spacing of 30X75 in a well prepared garden,grow maize plant spacing x well prepared garden,4
cassava,how to harvest cassava,Dig up the plant to expose the roots and remove roots without damaging them,how to harvest cassava Dig up the plant to expose the roots and remove roots without damaging them,harvest cassava dig plant expose root remove root without damaging,4
maize,how to harvest maize,Use manual means of breaking off the cob or other means using machines,how to harvest maize Use manual means of breaking off the cob or other means using machines,harvest maize use manual mean breaking cob mean using machine,4
cassava,how to improve cassava yields,Use clean seed of resistant varieties and good agronomic practice,how to improve cassava yields Use clean seed of resistant varieties and good agronomic practice,improve cassava yield use clean seed resistant variety good agronomic practice,1
maize,how to improve maize quality,Use better cropping practices,how to improve maize quality Use better cropping practices,improve maize quality use better cropping practice,1
maize,how to increase maize performance,Use good varieties,how to increase maize performance Use good varieties,increase maize performance use good variety,1
beans,how to maintain flowering beans,Use good flowering flowers,how to maintain flowering beans Use good flowering flowers,maintain flowering bean use good flowering flower,3
beans,how to maintain harvested beans,Store in a cool dry place,how to maintain harvested beans Store in a cool dry place,maintain harvested bean store cool dry place,3
cassava,how to maintain young cassava,Weed and provide water,how to maintain young cassava Weed and provide water,maintain young cassava weed provide water,4
cassava,how to make I good cassava cuttings,Cut about 6-10 cm long cuttings,how to make I good cassava cuttings Cut about 6-10 cm long cuttings,make good cassava cutting cut cm long cutting,4
general,how to make cow dug based fertilizer,Compost the dung into manure,how to make cow dug based fertilizer Compost the dung into manure,make cow dug based fertilizer compost dung manure,4
cassava,how to make more yields of cassava,Plant improved varieties,how to make more yields of cassava Plant improved varieties,make yield cassava plant improved variety,0
general,how to make nitrogen based fertilizer,Add organic matter and protein based material,how to make nitrogen based fertilizer Add organic matter and protein based material,make nitrogen based fertilizer add organic matter protein based material,4
general,how to make organic fertilizer,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation,how to make organic fertilizer Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation,make organic fertilizer organic fertiliser produced compositing home agricultural waste applied per crop recommendation,4
general,how to make organic mature,Compost home waste into manure,how to make organic mature Compost home waste into manure,make organic mature compost home waste manure,4
maize,how to manage a maize garden in a swampy area,Make sure soil is well drained,how to manage a maize garden in a swampy area Make sure soil is well drained,manage maize garden swampy area make sure soil well drained,2
beans,how to manage harvested beans,Dry them properly,how to manage harvested beans Dry them properly,manage harvested bean dry properly,3
maize,how to manage harvested maize,Dry it properly and store,how to manage harvested maize Dry it properly and store,manage harvested maize dry properly store,4
cassava,how to mulch my beans garden,Mulch before they emerge from the soil,how to mulch my beans garden Mulch before they emerge from the soil,mulch bean garden mulch emerge soil,2
maize,how to mulch my cassava garden,Yes,how to mulch my cassava garden Yes,mulch cassava garden yes,4
maize,how to plant maize in a cassava garden,Maize can be planted between the cassava plants at a spacing of 0.5m away from cassava plant and 0.5m away from another maize plant,how to plant maize in a cassava garden Maize can be planted between the cassava plants at a spacing of 0.5m away from cassava plant and 0.5m away from another maize plant,plant maize cassava garden maize planted cassava plant spacing away cassava plant away another maize plant,4
cassava,how to plant the cassava cuttings,Plant at a spacing of 1X1 meter and 10 cm deep,how to plant the cassava cuttings Plant at a spacing of 1X1 meter and 10 cm deep,plant cassava cutting plant spacing x meter cm deep,4
cassava,how to prepare cassava,Peel it and you can also make flour,how to prepare cassava Peel it and you can also make flour,prepare cassava peel also make flour,4
general,how to prevent and control sclerotium rolfsii,By using clean seeds and making sure the garden is free from old plants,how to prevent and control sclerotium rolfsii By using clean seeds and making sure the garden is free from old plants,prevent control sclerotium rolfsii using clean seed making sure garden free old plant,4
cassava,how to prevent cassava root rotting,Use improved varieties and good crop management,how to prevent cassava root rotting Use improved varieties and good crop management,prevent cassava root rotting use improved variety good crop management,1
maize,how to prevent fall army worms in maize,Use good agric practices and pesticides,how to prevent fall army worms in maize Use good agric practices and pesticides,prevent fall army worm maize use good agric practice pesticide,1
maize,how to prevent monkeys from destroying maize,Use scare crows or chemicals,how to prevent monkeys from destroying maize Use scare crows or chemicals,prevent monkey destroying maize use scare crow chemical,4
beans,how to prevent my beans from drying,In the garden try irrigation and reduce attack by pests,how to prevent my beans from drying In the garden try irrigation and reduce attack by pests,prevent bean drying garden try irrigation reduce attack pest,3
maize,how to prevent people from stealing maize,Use security,how to prevent people from stealing maize Use security,prevent people stealing maize use security,4
cassava,how to prevent termites from eating my cassava,Use termiticides on reccomendation of the agric officer,how to prevent termites from eating my cassava Use termiticides on reccomendation of the agric officer,prevent termite eating cassava use termiticides reccomendation agric officer,4
maize,how to remove weevils in my maize,Use insecticides,how to remove weevils in my maize Use insecticides,remove weevil maize use insecticide,1
cassava,how to store cassava,Store in a raised place off the ground in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,how to store cassava Store in a raised place off the ground in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,store cassava store raised place ground good pico bag cool dry place making sure pest tamper harvest,4
maize,how to store maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,how to store maize Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,store maize store good pico bag cool dry place making sure pest tamper harvest,4
beans,how to treat beans in a sunny season,Irrigate or plat drought resistant variety,how to treat beans in a sunny season Irrigate or plat drought resistant variety,treat bean sunny season irrigate plat drought resistant variety,3
maize,how. does climate change affect maize yielding,Reduces yield,how. does climate change affect maize yielding Reduces yield,climate change affect maize yielding reduces yield,4
general,identify two ways of controling the disease in the garden.,Before planting inspect and select materials free from disease and green mites. Also use good management practices.,identify two ways of controling the disease in the garden. Before planting inspect and select materials free from disease and green mites. Also use good management practices.,identify two way controling disease garden planting inspect select material free disease green mite also use good management practice,1
beans,if I growing beans how many times are we weeds,Two times that is a month after germination and before flowering,if I growing beans how many times are we weeds Two times that is a month after germination and before flowering,growing bean many time weed two time month germination flowering,4
cassava,if I growing cassava how many times are we weeds,2 to 3 times,if I growing cassava how many times are we weeds 2 to 3 times,growing cassava many time weed time,4
maize,if I intercrop cassava and maize does it have any effect?,No effect,if I intercrop cassava and maize does it have any effect? No effect,intercrop cassava maize effect effect,4
maize,if I intercrop crop cassava and maize does it have any effect?,"NO, it is economically viable","if I intercrop crop cassava and maize does it have any effect? NO, it is economically viable",intercrop crop cassava maize effect economically viable,4
beans,"if I put beans on cement, will it make it not to germinate?","Yes, on the cement, the beans will absorb moisture and rot due to high moisture content which causes them not to germinate.","if I put beans on cement, will it make it not to germinate? Yes, on the cement, the beans will absorb moisture and rot due to high moisture content which causes them not to germinate.",put bean cement make germinate yes cement bean absorb moisture rot due high moisture content cause germinate,3
beans,if my beans are eaten up by weevils what can I do,Kill the weevils and use beans as grain,if my beans are eaten up by weevils what can I do Kill the weevils and use beans as grain,bean eaten weevil kill weevil use bean grain,3
cassava,"if the cassava plant is healthy, what makes it's leaf to wilt and steam to dry.",Drying of stems and wilting of leaves is due to cassava bacterial blight disease,"if the cassava plant is healthy, what makes it's leaf to wilt and steam to dry. Drying of stems and wilting of leaves is due to cassava bacterial blight disease",cassava plant healthy make leaf wilt steam dry drying stem wilting leaf due cassava bacterial blight disease,0
general,in which month are we having much rainfall,August and March,in which month are we having much rainfall August and March,month much rainfall august march,4
beans,in which way should I spray my beans,Spray on the leaves and under them for better results,in which way should I spray my beans Spray on the leaves and under them for better results,way spray bean spray leaf better result,3
cassava,is cassava a vegetable?,"Yes, the leaves","is cassava a vegetable? Yes, the leaves",cassava vegetable yes leaf,0
cassava,is cassava mosaic disease a DNA virus?,It is caused by a DNA virus,is cassava mosaic disease a DNA virus? It is caused by a DNA virus,cassava mosaic disease dna virus caused dna virus,0
maize,is clay land recommended for maize garden,No,is clay land recommended for maize garden No,clay land recommended maize garden,4
cassava,is healthy to eat raw cassava roots?,No,is healthy to eat raw cassava roots? No,healthy eat raw cassava root,4
beans,is hybrid resistant to pest and diseases?,"No, they are not resistant to pests and diseases","is hybrid resistant to pest and diseases? No, they are not resistant to pests and diseases",hybrid resistant pest disease resistant pest disease,0
general,is imidacloprid acid dangerous to humans,Yes,is imidacloprid acid dangerous to humans Yes,imidacloprid acid dangerous human yes,4
general,is it for the farmer to spray his crops in morning hours of the day,Yes,is it for the farmer to spray his crops in morning hours of the day Yes,farmer spray crop morning hour day yes,4
general,is it good for me to mix foliar fertilizer and pesticide while spraying,No,is it good for me to mix foliar fertilizer and pesticide while spraying No,good mix foliar fertilizer pesticide spraying,4
maize,is it good for pruning maize,No may be thinning,is it good for pruning maize No may be thinning,good pruning maize may thinning,4
maize,is it good to broadcast maize,No,is it good to broadcast maize No,good broadcast maize,4
cassava,is it good to consume affected cassava,Yes,is it good to consume affected cassava Yes,good consume affected cassava yes,4
general,is it good to mulch during a rainy season,Yes,is it good to mulch during a rainy season Yes,good mulch rainy season yes,4
general,is it good to plant expired make seeds?,No,is it good to plant expired make seeds? No,good plant expired make seed,3
beans,is it good to sow beans,Yes,is it good to sow beans Yes,good sow bean yes,3
cassava,is it healthy to eat fresh cassava infected by cassava mosaic?,It has no problem,is it healthy to eat fresh cassava infected by cassava mosaic? It has no problem,healthy eat fresh cassava infected cassava mosaic problem,0
cassava,is it possible to avoid cassava green mite,"yes, by planting of certified healthy cuttings, planting at the onset of the rains to encourage vigorous growth and thereby increase tolerance to mite attacks","is it possible to avoid cassava green mite yes, by planting of certified healthy cuttings, planting at the onset of the rains to encourage vigorous growth and thereby increase tolerance to mite attacks",possible avoid cassava green mite yes planting certified healthy cutting planting onset rain encourage vigorous growth thereby increase tolerance mite attack,4
cassava,is it safe to eat cassava leaves?,Yes,is it safe to eat cassava leaves? Yes,safe eat cassava leaf yes,0
general,is there any chemical I can use to store after harvesting,Phosphine,is there any chemical I can use to store after harvesting Phosphine,chemical use store harvesting phosphine,1
maize,is there any. chemical l can use to store My maize after harvesting,Phosphine,is there any. chemical l can use to store My maize after harvesting Phosphine,chemical l use store maize harvesting phosphine,1
cassava,is yellowish on cassava leaves a sign of Mosaic disease?,No,is yellowish on cassava leaves a sign of Mosaic disease? No,yellowish cassava leaf sign mosaic disease,0
maize,it's too sunny and my maize is drying so what can I do,Irrigate the crop,it's too sunny and my maize is drying so what can I do Irrigate the crop,sunny maize drying irrigate crop,4
cassava,may I know lifecyle of white flies,"6-10 days for egg hatch, 3-4 days as a nymph I, 4-5 days as nymph II, 4-5 days as nymph III, 6-10 days for the pupa. Adults can live for 30 to 40 days.","may I know lifecyle of white flies 6-10 days for egg hatch, 3-4 days as a nymph I, 4-5 days as nymph II, 4-5 days as nymph III, 6-10 days for the pupa. Adults can live for 30 to 40 days.",may know lifecyle white fly day egg hatch day nymph day nymph ii day nymph iii day pupa adult live day,4
general,methods used when watering a garden,Irrigation procedures,methods used when watering a garden Irrigation procedures,method used watering garden irrigation procedure,4
maize,months of planting maize,March and august,months of planting maize March and august,month planting maize march august,4
general,name the materials needed for seed germination,Nutrient and good conditions,name the materials needed for seed germination Nutrient and good conditions,name material needed seed germination nutrient good condition,3
beans,plants that can be planted after harvesting beans,Sweet potato or maize,plants that can be planted after harvesting beans Sweet potato or maize,plant planted harvesting bean sweet potato maize,4
cassava,should I plant my cassava stem during shine season,1X1Meters spacing and 10 cm deep in the soil,should I plant my cassava stem during shine season 1X1Meters spacing and 10 cm deep in the soil,plant cassava stem shine season xmeters spacing cm deep soil,2
beans,should I spray bees in my beans garden,Depends on what you are spraying,should I spray bees in my beans garden Depends on what you are spraying,spray bee bean garden depends spraying,3
beans,should I use one fertilizer for beans from beginning to end,Not really. You can use several as per the need,should I use one fertilizer for beans from beginning to end Not really. You can use several as per the need,use one fertilizer bean beginning end really use several per need,4
beans,should stored beans seeds be sprayed,"Yes, to control weevils","should stored beans seeds be sprayed Yes, to control weevils",stored bean seed sprayed yes control weevil,3
beans,since naro beans are common in our market how many kilograms should I get in one acre,20-30 kilograms of beans,since naro beans are common in our market how many kilograms should I get in one acre 20-30 kilograms of beans,since naro bean common market many kilogram get one acre kilogram bean,3
maize,soil suitable for growing maize,Loam,soil suitable for growing maize Loam,soil suitable growing maize loam,2
cassava,sometimes cassava peeling a hard,Yes depending on variety,sometimes cassava peeling a hard Yes depending on variety,sometimes cassava peeling hard yes depending variety,4
general,state the characteristics of Sandy soil,Easily looses water,state the characteristics of Sandy soil Easily looses water,state characteristic sandy soil easily loos water,2
cassava,state the characteristics of cassava,White tuberous root on a shrubby plant,state the characteristics of cassava White tuberous root on a shrubby plant,state characteristic cassava white tuberous root shrubby plant,4
beans,there are how many types of beans seeds?,7 bean types,there are how many types of beans seeds? 7 bean types,many type bean seed bean type,3
beans,there many types of beans which one is good for farmers,Early maturing and disease resistant beans like NAROBEAN 2,there many types of beans which one is good for farmers Early maturing and disease resistant beans like NAROBEAN 2,many type bean one good farmer early maturing disease resistant bean like narobean,3
cassava,there many types of fertilizer which one is good for cassava in garden,NPK and phosphate fertilizers,there many types of fertilizer which one is good for cassava in garden NPK and phosphate fertilizers,many type fertilizer one good cassava garden npk phosphate fertilizer,4
cassava,these cassava infected by cassava mosaic don't they have effect in the body when eaten?,No,these cassava infected by cassava mosaic don't they have effect in the body when eaten? No,cassava infected cassava mosaic dont effect body eaten,0
maize,types of maize,"Longe 9,10 and all the newly released varietie by NARO","types of maize Longe 9,10 and all the newly released varietie by NARO",type maize longe newly released varietie naro,4
maize,w can I use for storing my maize,A cool dry place,w can I use for storing my maize A cool dry place,w use storing maize cool dry place,4
beans,wat can I use for drying my beans,Use tarpaulins or cemented floor free from dust,wat can I use for drying my beans Use tarpaulins or cemented floor free from dust,wat use drying bean use tarpaulin cemented floor free dust,1
cassava,we need signs of bacteria blight to cassava plant?,Islands on the leaf,we need signs of bacteria blight to cassava plant? Islands on the leaf,need sign bacteria blight cassava plant island leaf,0
cassava,what are the symptoms of Cassava mosaic,Coiling of leaves,what are the symptoms of Cassava mosaic Coiling of leaves,symptom cassava mosaic coiling leaf,0
beans,what brings very small flies in my in my beans garden,They feed on the crop,what brings very small flies in my in my beans garden They feed on the crop,brings small fly bean garden feed crop,3
maize,what can I use for drying my maize,Use tarpaulins or cemented floor free from dust,what can I use for drying my maize Use tarpaulins or cemented floor free from dust,use drying maize use tarpaulin cemented floor free dust,1
beans,what can I use for storing my beans,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,what can I use for storing my beans Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest,use storing bean store good pico bag cool dry place making sure pest tamper harvest,3
general,what is crop rotation,A management practice of Growing different crops on the same field in consecutive seasosns. It is important in improving yields and cycling nutrients,what is crop rotation A management practice of Growing different crops on the same field in consecutive seasosns. It is important in improving yields and cycling nutrients,crop rotation management practice growing different crop field consecutive seasosns important improving yield cycling nutrient,4
general,what ls crop rotation,The growing of different crops on the same piece of land in different seasons,what ls crop rotation The growing of different crops on the same piece of land in different seasons,l crop rotation growing different crop piece land different season,4
general,what should I do when handling the chemical,Protect yourself from it,what should I do when handling the chemical Protect yourself from it,handling chemical protect,4
maize,what should I use for. transporting my maize during harvesting,A truck if produced in large quantity,what should I use for. transporting my maize during harvesting A truck if produced in large quantity,use transporting maize harvesting truck produced large quantity,4
cassava,what acids are found in cassava,No acid in cassava,what acids are found in cassava No acid in cassava,acid found cassava acid cassava,4
general,what adjustment can I do to improve yields of my produce,Use clean seed of resistant varieties and good agronomic practice,what adjustment can I do to improve yields of my produce Use clean seed of resistant varieties and good agronomic practice,adjustment improve yield produce use clean seed resistant variety good agronomic practice,1
beans,what affects beans in early stages?,Pests and diseases,what affects beans in early stages? Pests and diseases,affect bean early stage pest disease,3
maize,what are Stewart's diseases in maize,The disease that causes lesions on maize and is caused by bacteria,what are Stewart's diseases in maize The disease that causes lesions on maize and is caused by bacteria,stewart disease maize disease cause lesion maize caused bacteria,0
cassava,what are brown streak virus in Cassava,Viruses that cause browning of leaves and roots in cassava,what are brown streak virus in Cassava Viruses that cause browning of leaves and roots in cassava,brown streak virus cassava virus cause browning leaf root cassava,0
cassava,what are cassava viruses,Virus which attack cassava,what are cassava viruses Virus which attack cassava,cassava virus virus attack cassava,0
maize,what are characteristics of high yielding Maize,Many cobs/seeds,what are characteristics of high yielding Maize Many cobs/seeds,characteristic high yielding maize many cobsseeds,4
beans,what are common beans disease,"Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold.","what are common beans disease Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold.",common bean disease bacterial wilt common blight fusarium root rot fusarium wilt halo blightrust white mold,3
beans,what are common condition favorite for growing my beans,Loamy soils and in the right season when there is rainfall,what are common condition favorite for growing my beans Loamy soils and in the right season when there is rainfall,common condition favorite growing bean loamy soil right season rainfall,3
maize,what are common disease in maize,Viral and bacterial diseases,what are common disease in maize Viral and bacterial diseases,common disease maize viral bacterial disease,0
general,what are crop nutrients,Materials that improve crop growth,what are crop nutrients Materials that improve crop growth,crop nutrient material improve crop growth,4
general,what are crop pests,Animals or insects which spoil crops,what are crop pests Animals or insects which spoil crops,crop pest animal insect spoil crop,4
general,what are examples of leguminous plants,"Beans, soya beans etc","what are examples of leguminous plants Beans, soya beans etc",example leguminous plant bean soya bean etc,3
maize,what are factors that affect maize growing,Poor growing conditions,what are factors that affect maize growing Poor growing conditions,factor affect maize growing poor growing condition,4
cassava,what are fusarium root in Cassava,Fungal infection causing rotting,what are fusarium root in Cassava Fungal infection causing rotting,fusarium root cassava fungal infection causing rotting,4
cassava,what are good stages of spraying cassava,Depends on what you are spraying,what are good stages of spraying cassava Depends on what you are spraying,good stage spraying cassava depends spraying,4
maize,what are good stages of spraying maize,Vegetative stage,what are good stages of spraying maize Vegetative stage,good stage spraying maize vegetative stage,4
general,what are legumes,Crops such as beans and soya beans which are nitrogen fixers,what are legumes Crops such as beans and soya beans which are nitrogen fixers,legume crop bean soya bean nitrogen fixer,3
maize,what are maize pests,"Termites, Leaf hoppers, stem borers, cut worms, etc","what are maize pests Termites, Leaf hoppers, stem borers, cut worms, etc",maize pest termite leaf hopper stem borer cut worm etc,4
general,what are micro organism,Small organisms,what are micro organism Small organisms,micro organism small organism,4
general,what are pests,Insects or animals that eat crops,what are pests Insects or animals that eat crops,pest insect animal eat crop,4
maize,what are precautions taken while handling herbicide into the maize garden,Protect yourself from it,what are precautions taken while handling herbicide into the maize garden Protect yourself from it,precaution taken handling herbicide maize garden protect,4
general,what are qualities of good seeds for planting,High viability,what are qualities of good seeds for planting High viability,quality good seed planting high viability,3
beans,what are rust in beans,"Fungal diseases affecting bean leaves, pods etc","what are rust in beans Fungal diseases affecting bean leaves, pods etc",rust bean fungal disease affecting bean leaf pod etc,3
general,what are seed companies and urban traders,People who trade in agricultural produce,what are seed companies and urban traders People who trade in agricultural produce,seed company urban trader people trade agricultural produce,4
general,what are seeds dormancy,Failure to germinate,what are seeds dormancy Failure to germinate,seed dormancy failure germinate,3
cassava,what are signs of the mosaic disease in the Cassava,Folding of leaves and low yield,what are signs of the mosaic disease in the Cassava Folding of leaves and low yield,sign mosaic disease cassava folding leaf low yield,0
cassava,what are some of the signs of cassava mosaic disease,Folding of leaves,what are some of the signs of cassava mosaic disease Folding of leaves,sign cassava mosaic disease folding leaf,0
cassava,what are the distance of cassava planting,1X1Meters,what are the distance of cassava planting 1X1Meters,distance cassava planting xmeters,4
general,what are the activities carried out under primary tillage?,Removing tree stumps and clearing the garden,what are the activities carried out under primary tillage? Removing tree stumps and clearing the garden,activity carried primary tillage removing tree stump clearing garden,4
general,what are the advantages of using Organic mulches when planting crops?,They easily decompose,what are the advantages of using Organic mulches when planting crops? They easily decompose,advantage using organic mulch planting crop easily decompose,4
general,what are the agents of pollination?,"Insects, water, air, wind","what are the agents of pollination? Insects, water, air, wind",agent pollination insect water air wind,4
general,what are the agricultural practices?,Good ways of practicing agric,what are the agricultural practices? Good ways of practicing agric,agricultural practice good way practicing agric,4
cassava,what are the agronomic practices of cassava,"Timely planting, timely weeding, spraying with pesticides, soil anchorage","what are the agronomic practices of cassava Timely planting, timely weeding, spraying with pesticides, soil anchorage",agronomic practice cassava timely planting timely weeding spraying pesticide soil anchorage,4
beans,what are the beans pests,"These include moth, caterpillars etc","what are the beans pests These include moth, caterpillars etc",bean pest include moth caterpillar etc,3
maize,what are the best soil for maize,"Well drained, fertile loam soils that are deep enough to support plant growth.","what are the best soil for maize Well drained, fertile loam soils that are deep enough to support plant growth.",best soil maize well drained fertile loam soil deep enough support plant growth,2
cassava,what are the better ways of planting cassava seeds than cassava stems,Seeds are sowed,what are the better ways of planting cassava seeds than cassava stems Seeds are sowed,better way planting cassava seed cassava stem seed sowed,3
general,what are the challenges in crop spacing,Reduce of yield,what are the challenges in crop spacing Reduce of yield,challenge crop spacing reduce yield,4
general,what are the characteristics of a well drained fertile soil,Good aeration,what are the characteristics of a well drained fertile soil Good aeration,characteristic well drained fertile soil good aeration,2
beans,what are the characteristics of high yeilding beans,They put on many seeds,what are the characteristics of high yeilding beans They put on many seeds,characteristic high yeilding bean put many seed,3
cassava,what are the characteristics of resistant cassava varieties,They dont get diseased,what are the characteristics of resistant cassava varieties They dont get diseased,characteristic resistant cassava variety dont get diseased,4
beans,what are the common types of beans,Climbing and bush type beans,what are the common types of beans Climbing and bush type beans,common type bean climbing bush type bean,3
cassava,what are the common types of cassava,There is local and improved cassava varieties. Improved varieties may be resistant to pests and diseases,what are the common types of cassava There is local and improved cassava varieties. Improved varieties may be resistant to pests and diseases,common type cassava local improved cassava variety improved variety may resistant pest disease,0
cassava,what are the common types of cassava diseases,"Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold.","what are the common types of cassava diseases Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold.",common type cassava disease bacterial wilt common blight fusarium root rot fusarium wilt halo blightrust white mold,0
maize,what are the common types of maize,White maize and popcorn maize,what are the common types of maize White maize and popcorn maize,common type maize white maize popcorn maize,4
maize,what are the common types of maize pests,"Stem borers, fall army worm, termites, etc","what are the common types of maize pests Stem borers, fall army worm, termites, etc",common type maize pest stem borer fall army worm termite etc,4
maize,what are the common weeds in a maize garden,"Couch grass, wandering jew, etc","what are the common weeds in a maize garden Couch grass, wandering jew, etc",common weed maize garden couch grass wandering jew etc,4
general,what are the components of Soil?,"Organic matter, water, minerals and microorganisms","what are the components of Soil? Organic matter, water, minerals and microorganisms",component soil organic matter water mineral microorganism,2
general,what are the components of sprinkler irrigation system?,"A sprinkler, a delivery pipe and a pump","what are the components of sprinkler irrigation system? A sprinkler, a delivery pipe and a pump",component sprinkler irrigation system sprinkler delivery pipe pump,4
beans,what are the conditions that favors the growth of beans,Good soil and weather conditions,what are the conditions that favors the growth of beans Good soil and weather conditions,condition favor growth bean good soil weather condition,2
cassava,what are the conditions that favors the growth of cassava,Good soil and weather conditions,what are the conditions that favors the growth of cassava Good soil and weather conditions,condition favor growth cassava good soil weather condition,2
general,what are the dangerous of soil erosion,Loss of nutrients and environmental degradation,what are the dangerous of soil erosion Loss of nutrients and environmental degradation,dangerous soil erosion loss nutrient environmental degradation,2
general,what are the dangers of pests to the crops,They reduce yield,what are the dangers of pests to the crops They reduce yield,danger pest crop reduce yield,4
general,what are the disadvantages of crop rotation,It may lead to accumulation of pests,what are the disadvantages of crop rotation It may lead to accumulation of pests,disadvantage crop rotation may lead accumulation pest,4
maize,what are the effects of weeds in the garden?,"Weeds competite for nutrients, space and habour pests","what are the effects of weeds in the garden? Weeds competite for nutrients, space and habour pests",effect weed garden weed competite nutrient space habour pest,4
cassava,what are the elephant weeds in my Cassava garden,It is a weed that needs to be removed,what are the elephant weeds in my Cassava garden It is a weed that needs to be removed,elephant weed cassava garden weed need removed,4
general,what are the environmental tractors that makes the soil to be infertile,Soil erosion and leaching of minerals,what are the environmental tractors that makes the soil to be infertile Soil erosion and leaching of minerals,environmental tractor make soil infertile soil erosion leaching mineral,2
cassava,what are the examples of weeds in cassava crops.,Couch grass,what are the examples of weeds in cassava crops. Couch grass,example weed cassava crop couch grass,4
beans,what are the factors affecting seed germination in beans,"Moisture, temperature and nutrients","what are the factors affecting seed germination in beans Moisture, temperature and nutrients",factor affecting seed germination bean moisture temperature nutrient,3
beans,what are the fertilizers used in beans,Adding in low nitrogen fertilizers at planting time is ok though usually beans manufacture their own nitrogen directly from the soil.,what are the fertilizers used in beans Adding in low nitrogen fertilizers at planting time is ok though usually beans manufacture their own nitrogen directly from the soil.,fertilizer used bean adding low nitrogen fertilizer planting time ok though usually bean manufacture nitrogen directly soil,4
cassava,what are the good practices when weeding cassava?,"Do not dig deeper to cut cassava roots, extend the soil to the root area","what are the good practices when weeding cassava? Do not dig deeper to cut cassava roots, extend the soil to the root area",good practice weeding cassava dig deeper cut cassava root extend soil root area,4
cassava,what are the good season of planting cassava,Rainy season,what are the good season of planting cassava Rainy season,good season planting cassava rainy season,4
maize,what are the good season to plant maize,The August November season,what are the good season to plant maize The August November season,good season plant maize august november season,4
cassava,what are the good stems for planting,"Stems with no streaks, with buds, mature enough","what are the good stems for planting Stems with no streaks, with buds, mature enough",good stem planting stem streak bud mature enough,4
